runNo efftx1c1 effty1c1 effp3s1 effp3c1 effp2s1 effp2c1 effty2c1 efftx2c1 efftx1c2 effty1c2 effp3s2 effp3c2 effp2s2 effp2c2 effty2c2 efftx2c2 grade status/C HVTXY1 HVTXY2 HVP3 HVP2 THRTXY1 THRTXY2 THRP3 THRP2
200 0.9998 0.9994 0.0126 0.6234 0.0051 0.6562 0.9970 0.9993 1.0000 1.0000 0.0126 0.6241 0.0051 0.6569 1.0000 1.0000 9 check_HV 1850 1850 2100 2100 3750 3750 3750 3750
201 0.9998 0.9994 0.0321 0.7540 0.0138 0.7587 0.9976 0.9993 1.0000 1.0000 0.0321 0.7547 0.0137 0.7593 1.0000 1.0000 9 check_HV 1850 1850 2100 2100 3750 3750 3750 3750
202 0.9998 0.9994 0.0874 0.8212 0.0451 0.8100 0.9971 0.9991 1.0000 1.0000 0.0873 0.8221 0.0450 0.8107 1.0000 1.0000 9 check_HV 1850 1850 2100 2100 3750 3750 3750 3750
203 0.9998 0.9995 0.2213 0.8552 0.1709 0.8406 0.9975 0.9993 1.0000 1.0000 0.2213 0.8559 0.1707 0.8412 1.0000 1.0000 9 check_HV 1850 1850 2100 2100 3750 3750 3750 3750
204 0.9999 0.9995 0.5949 0.8909 0.7812 0.9346 0.9973 0.9993 1.0000 1.0000 0.5948 0.8914 0.7812 0.9348 1.0000 1.0000 9 check_HV 1850 1850 2100 2100 3750 3750 3750 3750
205 0.9998 0.9994 0.9721 0.9644 0.9991 0.9995 0.9972 0.9991 1.0000 1.0000 0.9721 0.9646 0.9991 0.9995 1.0000 1.0000 9 check_HV 1850 1850 2100 2100 3750 3750 3750 3750
206 0.9997 0.9994 0.9999 0.9992 0.7466 0.9327 0.9978 0.9992 1.0000 1.0000 1.0000 0.9993 0.7466 0.9330 1.0000 1.0000 9 check_HV 1850 1850 2400 2300 3750 3750 3750 3750
207 0.9998 0.9995 0.9998 0.9999 0.9991 0.9995 0.9976 0.9994 1.0000 1.0000 0.9999 1.0000 0.9991 0.9996 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
208 0.9998 0.9995 0.0057 0.4209 0.0021 0.4642 0.9976 0.9990 1.0000 1.0000 0.0057 0.4216 0.0020 0.4648 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
209 0.9998 0.9995 0.0038 0.2351 0.0017 0.2622 0.9976 0.9993 1.0000 1.0000 0.0038 0.2353 0.0016 0.2623 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
210 0.9997 0.9994 0.0031 0.1118 0.0014 0.1201 0.9975 0.9994 1.0000 1.0000 0.0031 0.1120 0.0014 0.1201 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
211 0.9997 0.9995 0.0029 0.0575 0.0012 0.0611 0.9973 0.9992 1.0000 1.0000 0.0029 0.0576 0.0012 0.0612 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
212 0.9998 0.9995 0.0024 0.0168 0.0006 0.0168 0.9977 0.9993 1.0000 1.0000 0.0024 0.0169 0.0006 0.0168 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
213 0.9997 0.9995 0.0020 0.0033 0.0003 0.0038 0.9975 0.9992 1.0000 1.0000 0.0020 0.0033 0.0003 0.0038 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
214 0.9999 0.9995 0.0024 0.0002 0.0001 0.0003 0.9978 0.9992 1.0000 1.0000 0.0024 0.0002 0.0001 0.0003 1.0000 1.0000 9 check_HV 1850 1850 2450 2350 3750 3750 3750 3750
215 0.9998 0.9994 0.7910 0.9096 0.8714 0.9606 0.9972 0.9993 1.0000 1.0000 0.7910 0.9100 0.8714 0.9608 1.0000 1.0000 9 Vth@PT2&3 1850 1850 2450 2350 3750 3750 3760 3760
216 0.9997 0.9995 0.9548 0.9502 0.9531 0.9814 0.9977 0.9994 1.0000 1.0000 0.9549 0.9504 0.9530 0.9814 1.0000 1.0000 9 Vth@PT2&3 1850 1850 2450 2350 3750 3750 3770 3770
217 0.9998 0.9994 0.9971 0.9838 0.9813 0.9895 0.9977 0.9992 1.0000 1.0000 0.9971 0.9839 0.9813 0.9896 1.0000 1.0000 9 Vth@PT2&3 1850 1850 2450 2350 3750 3750 3780 3780
218 0.9998 0.9995 1.0000 1.0000 0.9978 0.9974 0.9975 0.9993 1.0000 1.0000 1.0000 1.0000 0.9979 0.9974 1.0000 1.0000 9 Vth@PT2&3 1850 1850 2450 2350 3750 3750 3790 3790
219 0.9998 0.9993 0.9988 0.9891 1.0000 0.9998 0.9976 0.9993 1.0000 1.0000 0.9988 0.9893 1.0000 0.9998 1.0000 1.0000 9 Vth 1850 1850 2450 2350 3750 3750 3780 3800
220 0.9997 0.9994 0.9968 0.9817 1.0000 0.9999 0.9976 0.9993 1.0000 1.0000 0.9967 0.9819 1.0000 0.9999 1.0000 1.0000 9 Vth 1850 1850 2450 2350 3750 3750 3780 3810
